  
 ------------------------------------------------------------
         COND_ID           P_ID        E_RATIO        S_RATIO
        2.000000       1.000000       0.020019       0.017155
        2.000000       1.000000       0.024820       0.016861
        2.000000       1.000000       0.026764       0.022793
        2.000000       1.000000       0.030726       0.018811
        2.000000       1.000000       0.017583       0.023284
        2.000000       1.000000       0.011162       0.020071
        2.000000       1.000000       0.012349       0.020525
        2.000000       1.000000       0.020990       0.023434
        2.000000       1.000000       0.022225       0.023020
        2.000000       1.000000       0.024942       0.020180
        2.000000       1.000000       0.027518       0.020070
        2.000000       1.000000       0.012056       0.024219
        2.000000       1.000000       0.015291       0.019958
        2.000000       1.000000       0.023477       0.016632
        2.000000       1.000000       0.012508       0.019515
        2.000000       1.000000       0.014527       0.019958
        2.000000       1.000000       0.032343       0.023020
        2.000000       1.000000       0.018315       0.016632
        2.000000       1.000000       0.016311       0.019958
        2.000000       1.000000       0.029967       0.023284
        2.000000       1.000000       0.011651       0.017155
        2.000000       1.000000       0.026808       0.026167
        2.000000       1.000000       0.022268       0.023156
        2.000000       1.000000       0.018983       0.020070
        2.000000       1.000000       0.018726       0.016299
        2.000000       1.000000       0.030506       0.022508
        2.000000       1.000000       0.031769       0.023395
        2.000000       1.000000       0.014912       0.017582
        2.000000       1.000000       0.029262       0.020070
        2.000000       1.000000       0.024563       0.025968
        2.000000       1.000000       0.027929       0.017123
        2.000000       1.000000       0.014887       0.021836
        2.000000       1.000000       0.012895       0.020182
        2.000000       1.000000       0.021299       0.020071
        2.000000       1.000000       0.024468       0.020187
        2.000000       1.000000       0.014887       0.023395
        2.000000       1.000000       0.021397       0.020187
        2.000000       1.000000       0.023171       0.019061
        2.000000       1.000000       0.017610       0.023247
        2.000000       1.000000       0.023639       0.016819
        2.000000       1.000000       0.024440       0.023284
        2.000000       1.000000       0.019597       0.023546
        2.000000       1.000000       0.020033       0.016632
        2.000000       2.000000       0.020233       0.023084
        2.000000       2.000000       0.020512       0.023615
        2.000000       2.000000       0.021985       0.019789
        2.000000       2.000000       0.034743       0.024184
        2.000000       2.000000       0.026956       0.018868
        2.000000       2.000000       0.020809       0.017430
        2.000000       2.000000       0.017014       0.019787
        2.000000       2.000000       0.016256       0.023569
        2.000000       2.000000       0.009520       0.020011
        2.000000       2.000000       0.022747       0.020011
        2.000000       2.000000       0.032825       0.023414
        2.000000       2.000000       0.028244       0.020436
        2.000000       2.000000       0.019585       0.022788
        2.000000       2.000000       0.019161       0.019122
        2.000000       2.000000       0.015321       0.018301
        2.000000       2.000000       0.016041       0.022828
        2.000000       2.000000       0.029146       0.020466
        2.000000       2.000000       0.026051       0.021081
        2.000000       2.000000       0.006194       0.016787
        2.000000       2.000000       0.015055       0.020477
        2.000000       2.000000       0.032661       0.019456
        2.000000       2.000000       0.012686       0.019677
        2.000000       2.000000       0.028282       0.023435
        2.000000       2.000000       0.026485       0.023124
        2.000000       2.000000       0.020111       0.017655
        2.000000       2.000000       0.028825       0.014510
        2.000000       2.000000       0.018915       0.018624
        2.000000       2.000000       0.017997       0.017343
        2.000000       2.000000       0.021633       0.023435
        2.000000       2.000000       0.023009       0.020488
        2.000000       2.000000       0.011856       0.016049
        2.000000       2.000000       0.010288       0.023615
        2.000000       2.000000       0.026125       0.019675
        2.000000       2.000000       0.014692       0.020354
        2.000000       2.000000       0.015749       0.019677
        2.000000       2.000000       0.015720       0.017655
        2.000000       2.000000       0.025637       0.023124
        2.000000       2.000000       0.027259       0.020666
        2.000000       2.000000       0.021433       0.022828
        2.000000       2.000000       0.015546       0.024024
        2.000000       2.000000       0.025637       0.023615
        2.000000       2.000000       0.013212       0.023135
        2.000000       2.000000       0.016561       0.021081
        2.000000       2.000000       0.023889       0.023093
        2.000000       2.000000       0.026232       0.020123
        2.000000       2.000000       0.023907       0.024024
        2.000000       2.000000       0.018218       0.023124
        2.000000       2.000000       0.019038       0.020345
        2.000000       3.000000       0.023090       0.020524
        2.000000       3.000000       0.021761       0.021187
        2.000000       3.000000       0.016341       0.021683
