conceptID,term,Type,MTurk_E,MTurk_P,MTurk_A,US_E,US_P,US_A,org_E,org_P,org_A
779,use,Behaviors,-.68301886,.13976191,.2147619,-.59849435,-.022988513,-.17152101,-2.6600001,.14,-.31999999
1670,usher,Identities,.3230392,.050735295,-.00490196,.47302386,.17528734,-.16181226,1.61,.82999998,-.28999999
1671,vagrant,Identities,-.28210527,-.39631578,-.039473686,-.29234627,-.5229885,-.21035595,-1.4400001,-1.6,-.44
2335,vain,Modifiers,-.5267157,-.11029412,.22769608,-.46298614,-.16954024,.23300974,-2.1199999,-.37,.93000001
780,value,Behaviors,.71005434,.42418477,-.0096153859,.81179422,.61206895,-.16828476,2.96,2.3499999,-.31
1672,vandal,Identities,-.70631582,.050263159,.43763158,-.4504391,-.1178161,.12944987,-2.0699999,-.19,.61000001
2336,vengeful,Modifiers,-.65782827,-.0010100997,.28030303,-.55332494,-.051724147,.15857607,-2.48,.039999999,.69999999
1673,veterinarian,Identities,.66122448,.43928573,.30510205,.77164364,.51436782,-.097087353,2.8,2.01,-.090000004
781,vex,Behaviors,-.41067415,.038202249,.21151686,-.40276033,.13793102,.058252446,-1.88,.69999999,.38999999
1674,victim,Identities,-.20769231,-.69230771,-.32499999,-.0062735043,-.79022986,-.47572812,-.30000001,-2.53,-1.26
782,victimize,Behaviors,-.85324073,.12708333,.42060184,-.75156832,.12931034,.21035601,-3.27,.67000002,.86000001
1675,vigilante,Identities,-.19343434,.34621212,.43181819,.036386471,.25287357,.4142395,-.13,1.1,1.49
2337,vigorous,Modifiers,.48431373,.48578432,.65441179,.45294857,.41379309,.65048546,1.53,1.66,2.22
1676,villain,Identities,-.81331521,.43559784,.3951087,-.71392715,.40229884,.34951457,-3.1199999,1.62,1.29
2338,violent,Modifiers,-.82640189,.33668223,.70070094,-.65370136,.31034482,.75080907,-2.8800001,1.3,2.53
1677,vip,Identities,.31629214,.58664775,.33323863,.32496864,.58908045,.34627834,1.02,2.27,1.28
1678,virgin,Identities,.29427084,.09739583,-.29218751,.45294857,.22413792,-.37540451,1.53,1,-.94999999
2339,virtuous,Modifiers,.70170456,.45229885,.01408046,.8343789,.60919535,-.064724892,3.05,2.3399999,.0099999998
783,visit,Behaviors,.57050002,.3335,.23625,.70890838,.31896552,-.074433632,2.55,1.33,-.02
1679,visitor,Identities,.26570797,-.041150443,.031194691,.36260977,-.089080468,-.029126188,1.17,-.090000004,.12
2340,vivacious,Modifiers,.40489691,.35592782,.52886599,.44040152,.33333331,.59870553,1.48,1.38,2.0599999
1680,voter,Identities,.6007576,.27954546,.088636361,.55081558,.42816091,-.071197383,1.92,1.71,-.0099999998
2341,vulgar,Modifiers,-.5194149,-.13271277,.42260638,-.43036383,-.10632185,.58576053,-1.99,-.15000001,2.02
1681,wage_earner,Identities,.58267325,.31881189,.32600001,.510665,.26149425,-.038834922,1.76,1.13,.090000004
784,wait_on,Behaviors,.090056822,-.20340909,-.20545977,.23212047,-.26724139,-.64724916,.64999998,-.70999998,-1.79
