Compared Cultures,Term ID,cosine e,cosine p,cosine a,e distance,p distance,a distance,angular similarity e,angular similarity p,angular similarity a,max e distance,max p distance,max a distance,epa distance,Distance Sum,Distance Proportion
US_Intersect,b_abandon,0.215642435474111,0.353729678980722,0.604047579444828,0.8616308855434474,0.7698265620651038,0.587107360921296,0.13836911445655264,0.2301734379348962,0.412892639078704,1,1,1,0.7395216028432824,959.245425089883,0.5538368505137893
US_Intersect,b_abduct,0.0902576048342333,0.465925542528831,0.475362109504131,0.9424619213747626,0.6914429107753319,0.6846341160190006,0.05753807862523741,0.30855708922466807,0.3153658839809994,1,1,1,0.772846316056365,959.245425089883,0.5538368505137893
US_Intersect,b_abet,0.578575998835105,0.249055128710634,0.687140530743715,0.6072172423439955,0.8397599263935781,0.5177313204654727,0.39278275765600446,0.1602400736064219,0.48226867953452734,1,1,1,0.6549028297343488,959.245425089883,0.5538368505137893
US_Intersect,b_abhor,0.201830933134267,0.0209980262782904,0.505224802281456,0.8706216947076026,0.9866312587500011,0.662819151383141,0.12937830529239736,0.013368741249998872,0.33718084861685904,1,1,1,0.8400240349469149,959.245425089883,0.5538368505137893
US_Intersect,b_abort,0.622492107970154,0.460247906424659,0.600797869537273,0.572240548163283,0.6955210488113417,0.5896993084519302,0.42775945183671704,0.3044789511886583,0.4103006915480698,1,1,1,0.6191536351421849,959.245425089883,0.5538368505137893
US_Intersect,b_abuse,0.0540370651120488,0.37072988904071,0.598915335883051,0.9655821719953317,0.7582151281306626,0.591197180734387,0.034417828004668305,0.2417848718693374,0.408802819265613,1,1,1,0.7716648269534604,959.245425089883,0.5538368505137893
US_Intersect,b_accept,0.386616357427191,0.509612026985757,0.761715780333839,0.7472875286109634,0.6595778832130488,0.44871453708357983,0.25271247138903663,0.3404221167869512,0.5512854629164201,1,1,1,0.618526649635864,959.245425089883,0.5538368505137893
US_Intersect,b_acclaim,0.614064546929428,0.73272327516051,0.575022547296936,0.5790668887863423,0.476497952074601,0.6099865420936953,0.42093311121365773,0.523502047925399,0.3900134579063047,1,1,1,0.5551837943182129,959.245425089883,0.5538368505137893
US_Intersect,b_accommodate,0.409917025789328,0.662901824450822,0.718386198237166,0.7311153044614422,0.5386493364207973,0.4897621976772645,0.26888469553855776,0.46135066357920274,0.5102378023227355,1,1,1,0.5865089461865014,959.245425089883,0.5538368505137893
US_Intersect,b_accost,0.341880408737411,0.726300032417183,0.559001466772084,0.7778724421317545,0.48247663436019556,0.62236921543831,0.22212755786824545,0.5175233656398044,0.37763078456168997,1,1,1,0.6275727639767533,959.245425089883,0.5538368505137893
