Month,Day,Year,Temp
9,17,1995,63.9
9,18,1995,57.1
9,19,1995,59.4
9,20,1995,64.1
9,21,1995,61.8
9,22,1995,53
9,23,1995,45.8
9,24,1995,50.3
9,25,1995,53.6
9,26,1995,55.4
9,27,1995,61.4
9,28,1995,65.5
9,29,1995,65.2
9,30,1995,66.5
1,0            1,1995,66.2
1,0            2,1995,65.1
1,0            3,1995,62.6
1,0            4,1995,57.9
1,0            5,1995,58.8
1,0            6,1995,63.2
1,0            7,1995,55.9
1,0            8,1995,55
1,0            9,1995,55.8
1,0            10,1995,60.3
1,0            11,1995,62.9
1,0            12,1995,65.1
1,0            13,1995,64.5
1,0            14,1995,60.1
1,0            15,1995,47
1,0            16,1995,44.6
1,0            17,1995,47.9
1,0            18,1995,61.6
1,0            19,1995,62.9
1,0            20,1995,56.6
1,0            21,1995,41.7
1,0            22,1995,47.8
1,0            23,1995,58
1,0            24,1995,54.3
1,0            25,1995,47.9
1,0            26,1995,47.3
1,0            27,1995,55.7
1,0            28,1995,48.6
1,0            29,1995,46.9
1,0            30,1995,48.5
1,0            31,1995,52.7
1,1            1,1995,57.1
1,1            2,1995,63.9
1,1            3,1995,38.8
1,1            4,1995,30.7
1,1            5,1995,24.4
1,1            6,1995,32.5
1,1            7,1995,45.6
1,1            8,1995,33.1
1,1            9,1995,24.6
1,1            10,1995,46.1
1,1            11,1995,47.2
1,1            12,1995,23.2
1,1            13,1995,35.1
1,1            14,1995,30.4
1,1            15,1995,30.3
1,1            16,1995,31
1,1            17,1995,32.6
1,1            18,1995,41.1
1,1            19,1995,38.1
1,1            20,1995,41.6
1,1            21,1995,35.2
1,1            22,1995,29.3
1,1            23,1995,36.6
1,1            24,1995,27.2
1,1            25,1995,30.4
1,1            26,1995,41.7
1,1            27,1995,53.4
1,1            28,1995,37.3
1,1            29,1995,29.3
1,1            30,1995,30.6
1,2            1,1995,48.6
1,2            2,1995,38.6
1,2            3,1995,49.8
1,2            4,1995,37.2
1,2            5,1995,38.9
1,2            6,1995,29.3
1,2            7,1995,27.4
1,2            8,1995,22.8
1,2            9,1995,16.1
1,2            10,1995,7.1
1,2            11,1995,13.6
1,2            12,1995,18.8
1,2            13,1995,25
1,2            14,1995,48.2
1,2            15,1995,38
1,2            16,1995,35
1,2            17,1995,29.7
1,2            18,1995,33
1,2            19,1995,30.6
